SpeciesName,Taxon,TaxonCode,Terrestriality,Diurnality,ECV,Body mass,logECV,logBodyMass
Allenopithecus_nigroviridis,Haplorhine,1,1,1,53.7,3180,1.729950392,3.50242712
Alouatta_belzebul,Haplorhine,1,0,1,50.94,5525,1.707083299,3.742332282
Alouatta_caraya,Haplorhine,1,0,1,49.23,4240,1.692223855,3.627365857
Alouatta_guariba,Haplorhine,1,0,1,48.5,4550,1.685781071,3.658011397
Alouatta_palliata,Haplorhine,1,0,1,48.92,5350,1.68944861,3.728353782
Alouatta_pigra,Haplorhine,1,0,1,49.18,5608,1.691744369,3.748808005
Alouatta_seniculus,Haplorhine,1,0,1,55.29,5210,1.742636833,3.716837723
Aotus_azarae,Haplorhine,1,0,0,20.14,1250,1.304036554,3.096910013
Aotus_nancymaae,Haplorhine,1,0,0,17.89,787,1.252549647,2.895974732
Aotus_nigriceps,Haplorhine,1,0,0,17.59,958,1.245288284,2.981365509
Aotus_trivirgatus,Haplorhine,1,0,0,16.07,988.9,1.205897042,2.995145057
Aotus_vociferans,Haplorhine,1,0,0,17.7,703,1.247973266,2.846955325
Arctocebus_aureus,Strepsirrhine,2,0,0,5.88,210,0.769477952,2.322219295
Arctocebus_calabarensis,Strepsirrhine,2,0,0,6.99,309,0.844190396,2.489958479
Ateles_belzebuth,Haplorhine,1,0,1,112.82,8484,2.052377622,3.928622598
Ateles_fusciceps,Haplorhine,1,0,1,107.55,9160,2.031608183,3.961895474
Ateles_geoffroyi,Haplorhine,1,0,1,103.46,7700,2.014767713,3.886490725
Ateles_hybridus,Haplorhine,1,0,1,102.59,7560,2.01112305,3.878521796
Ateles_paniscus,Haplorhine,1,0,1,107.57,8070,2.031677711,3.906873535
Avahi_laniger,Strepsirrhine,2,0,0,9.52,1207,0.978428684,3.08170727
Brachyteles_arachnoides,Haplorhine,1,0,1,102.04,8070,2.00878261,3.906873535
Cacajao_calvus,Haplorhine,1,0,1,70.75,2880,1.849698541,3.459392488
Cacajao_melanocephalus,Haplorhine,1,0,1,61.98,2300,1.792251572,3.361727836
Callicebus_caligatus,Haplorhine,1,0,1,17.18,880,1.234896746,2.944482672
Callicebus_cupreus,Haplorhine,1,0,1,17.44,887,1.24153995,2.94792362
Callicebus_lugens,Haplorhine,1,0,1,19.13,1090,1.281764011,3.037426498
Callicebus_moloch,Haplorhine,1,0,1,15.4,988,1.187520721,2.994756945
Callicebus_torquatus,Haplorhine,1,0,1,19.77,1245,1.296097678,3.095169351
Callimico_goeldii,Haplorhine,1,0,1,11.24,396.9,1.050887039,2.598712361
Callithrix_geoffroyi,Haplorhine,1,0,1,9.78,338,0.990116766,2.529462438
Callithrix_jacchus,Haplorhine,1,0,1,7.49,320,0.874325619,2.505149978
Callithrix_kuhlii,Haplorhine,1,0,1,7.97,373.3,0.901642009,2.572096768
Callithrix_penicillata,Haplorhine,1,0,1,7.17,299.1,0.855333077,2.475832546
Cebuella_pygmaea,Haplorhine,1,0,1,4.19,116,0.622680799,2.064457989
Cebus_albifrons,Haplorhine,1,0,1,66,2013,1.819573119,3.303897708
Cebus_apella,Haplorhine,1,0,1,64.14,2539,1.807102186,3.404621647
Cebus_capucinus,Haplorhine,1,0,1,69.22,2437,1.840234722,3.386766416
Cebus_libidinosus,Haplorhine,1,0,1,63.65,2117,1.803822157,3.325707623
Cebus_nigritus,Haplorhine,1,0,1,65.03,2232,1.813127378,3.348601122
Cebus_olivaceus,Haplorhine,1,0,1,70.09,2202,1.845633245,3.342768005
Cebus_xanthosternos,Haplorhine,1,0,1,64,2167,1.806212676,3.335792102
Cercocebus_galeritus,Haplorhine,1,1,1,95.34,3700,1.979262119,3.568201724
Cercocebus_torquatus,Haplorhine,1,1,1,93.48,5658,1.970726729,3.752624563
Cercopithecus_ascanius,Haplorhine,1,0,1,56.68,2901,1.753461847,3.462547729
Cercopithecus_campbelli,Haplorhine,1,1,1,54.06,2365,1.732912064,3.373916833
Cercopithecus_cephus,Haplorhine,1,0,1,60.58,2880,1.782313292,3.459392488
Cercopithecus_diana,Haplorhine,1,0,1,57.29,3900,1.758100481,3.591064607
